visit_id,bromeliad_id,dataset_id,dataset_name,species,actual_water,max_water,longest_leaf,num_leaf,height,diameter,extended_diameter,leaf_width,catchment_diameter,catchment_height_cm,catchment_diameter_cm,tank_height_cm,plant_area,plant_area_m2,is_consec,min_det,max_det,obs_or_fit,total_detritus,predicted_water,max_water_combined,max_water_from_24_volume,max_water_estimated,original_id,collection_date,plant_height_cm,spider,average_ph,canopy_height_m,elevation_m,number_bromeliads_on_tree,number_of_bromeliads_in_3m_radius,sampling_day,utme,utmn,habitat,green_leaves,ammonium_umol_per_l,chlorophyll_a_ug_per_l,dissolved_organic_carbon_mgc_per_l,inorganic_carbon_mgc_per_l,nitrate_umol_per_l,ph,phosphate_umol_per_l,total_organic_carbon_mgC_per_l,turbidity_ntu,water_coloration_per_m,water_temperature_c,air_temperature_c,canopy_openess_chr,ant,horizontal_leaves_percentage,incident_radiation_above_ground_percentage,number_of_epiphytes_in_ant_garden,number_of_wells,reservoir_diameter_cm,reservoir_height_cm,vertical_leaves_percentage,bacteria_per_ml,virus_per_ml,bacterial_abundance_cell_per_ml,incident_radiation_percentage,core_diameter_cm,light_canopy_access_0_10,precipitation_access_0_10,total_bromeliads_within_2m_radius,total_leaf_weight_g,blade_width_cm,cobertura_cm2,oxygen_mg_lt,sheath_length_cm,temperature_c,ant_nest,canopy_openess,host_tree_label,no_brom_3m_cumulative,no_brom_host_tree,substrate,oxygen_mgperl,canopy_height,elevation,total_bromeliads_on_same_tree,canopy_cover,Canopy openess,num_wells,open.canopy
41,5086,51,Pitilla1997,Guzmania_sp,80,180,43,30,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,TRUE,0,Inf,fit_obs,12.13743591851733,NA,180,NA,observed,97_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
41,5091,51,Pitilla1997,Guzmania_sp,NA,NA,69,30,NA,NA,69,5.5,NA,NA,NA,NA,NA,NA,TRUE,0,Inf,fit_obs,8.617256411903417,NA,NA,NA,observed,97_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
41,5096,51,Pitilla1997,Guzmania_sp,NA,NA,81,28,NA,NA,136,5.5,NA,NA,NA,NA,NA,NA,TRUE,0,Inf,fit_obs,30.123731338131886,NA,NA,NA,observed,97_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
41,5101,51,Pitilla1997,Vriesea_sp,NA,NA,NA,20,NA,NA,77,5.5,NA,NA,NA,NA,NA,NA,TRUE,0,Inf,fit_obs,13.57486653885819,NA,NA,NA,observed,97_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
41,5106,51,Pitilla1997,Vriesea_sp,NA,NA,64,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,observed,97_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
41,5111,51,Pitilla1997,Guzmania_sp,NA,NA,NA,14,NA,NA,82,5.6,NA,NA,NA,NA,NA,NA,TRUE,0,Inf,fit_obs,11.64487161584975,NA,NA,NA,observed,97_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
41,5116,51,Pitilla1997,Guzmania_sp,NA,1,NA,13,NA,NA,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,observed,97_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
41,5121,51,Pitilla1997,Guzmania_sp,NA,0.7,16.5,8,NA,NA,24,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,observed,97_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
41,5126,51,Pitilla1997,Guzmania_sp,NA,15,29,12,NA,NA,30,2.7,NA,NA,NA,NA,NA,NA,TRUE,0,Inf,fit_obs,0.6017366329795647,NA,15,NA,observed,97_14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
41,5131,51,Pitilla1997,Guzmania_sp,NA,21,31,23,NA,NA,50,3.2,NA,NA,NA,NA,NA,NA,TRUE,0,Inf,fit_obs,0.47227809853080743,NA,21,NA,observed,97_15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
